Model version,mean_score,Best score (across scorers),Release date,Organization,Country,Training compute (FLOP),Training compute notes,stderr,Log viewer,Logs,Started at,id
gpt-5.4-2026-03-05_low,0.17,0.17,2026-03-05,OpenAI,United States of America,,,0.03775251680686369,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/kWUUr3aHFZfKNARqAFxYZa.eval,2026-08-27T19:18:00.000Z,kWUUr3aHFZfKNARqAFxYZa
gpt-5.6-sol_low,0.26,0.26,2026-07-09,OpenAI,United States of America,,,0.04408440022768081,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/RMeUVa4tq3fURqCMtQWkfe.eval,2026-08-27T19:17:45.000Z,RMeUVa4tq3fURqCMtQWkfe
qwen3.6-max-preview_none,0.19,0.19,2026-04-20,Alibaba,China,,,0.039427724440366255,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/mbySBWyYrKdtd7joxHyBdq.eval,2026-08-27T19:13:41.000Z,mbySBWyYrKdtd7joxHyBdq
MiniMax-M3,0.07,0.07,2026-06-01,MiniMax,China,,,0.02564323999762428,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/GGpgwGRFVATVJdQr8TgRc9.eval,2026-08-27T19:13:33.000Z,GGpgwGRFVATVJdQr8TgRc9
gpt-5.6-terra_low,0.19,0.19,2026-07-09,OpenAI,United States of America,,,0.039427724440366255,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/iE9NNTJWbGpRia2fUVGkPf.eval,2026-08-27T19:13:32.000Z,iE9NNTJWbGpRia2fUVGkPf
o3-mini-2025-01-31_high,0.07,0.07,2025-01-31,OpenAI,United States of America,,"We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.",0.02564323999762428,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/JSmdEXGULNBJ7PfSoVoa7W.eval,2026-08-27T19:08:51.000Z,JSmdEXGULNBJ7PfSoVoa7W
gpt-5.1-2025-11-13_medium,0.16,0.16,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",0.03684529491774706,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/8dvpS2RJKYLwpVh6M7AJkA.eval,2026-08-27T19:08:40.000Z,8dvpS2RJKYLwpVh6M7AJkA
gpt-5-2025-08-07_medium,0.15,0.15,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.03588702812826367,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/3ZzqFaVH7RgvRyxCt6RseN.eval,2026-08-27T19:08:19.000Z,3ZzqFaVH7RgvRyxCt6RseN
gpt-5.2-2025-12-11_low,0.1,0.1,2025-12-11,OpenAI,United States of America,,,0.03015113445777636,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/bLxTUZHmq3YkRejnh6baqZ.eval,2026-08-27T19:03:44.000Z,bLxTUZHmq3YkRejnh6baqZ
gpt-5-2025-08-07_low,0.16,0.16,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.03684529491774706,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/262FWwUwrjPpxVN8G8sDZT.eval,2026-08-27T19:03:18.000Z,262FWwUwrjPpxVN8G8sDZT
gpt-5-mini-2025-08-07_high,0.05,0.05,2025-08-07,OpenAI,United States of America,,,0.021904291355759033,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/THodvrqzCUw7fjpxvKMMWT.eval,2026-08-27T18:59:15.000Z,THodvrqzCUw7fjpxvKMMWT
gpt-5.6-luna_medium,0.12,0.12,2026-07-09,OpenAI,United States of America,,,0.032659863237109045,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/BvShPsULJMkwxxf8vBSNfu.eval,2026-08-27T18:48:42.000Z,BvShPsULJMkwxxf8vBSNfu
gpt-5.4-nano-2026-03-17_high,0.05,0.05,2026-03-17,OpenAI,United States of America,,,0.021904291355759033,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/2e2NePZeU3iB4wvhwCaTci.eval,2026-08-27T18:48:17.000Z,2e2NePZeU3iB4wvhwCaTci
qwen3.6-27b_none,0.07,0.07,2026-04-22,Alibaba,China,,,0.02564323999762428,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/dKZDn279PKuc2Kxm68D4r2.eval,2026-08-27T18:48:08.000Z,dKZDn279PKuc2Kxm68D4r2
qwen3.5-397b-a17b_none,0.18,0.18,2026-02-13,Alibaba,China,,,0.03861229196653691,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/D7WDyCr24AVdzr4eKAreJu.eval,2026-08-27T18:47:58.000Z,D7WDyCr24AVdzr4eKAreJu
gpt-5.1-2025-11-13_low,0.19,0.19,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",0.039427724440366255,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/iV2bSueom3C2SKw72ogiYr.eval,2026-08-27T18:36:07.000Z,iV2bSueom3C2SKw72ogiYr
glm-5.2_medium,0.15,0.15,2026-06-16,Z.ai (Zhipu AI),China,,,0.03588702812826367,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/NfN7VwMPjSVqViqrBQPWk2.eval,2026-08-27T18:36:04.000Z,NfN7VwMPjSVqViqrBQPWk2
gpt-5.4-mini-2026-03-17_medium,0.07,0.07,2026-03-17,OpenAI,United States of America,,,0.02564323999762428,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/4CzMJvWvuiLMCZhe2JGmSb.eval,2026-08-27T18:31:20.000Z,4CzMJvWvuiLMCZhe2JGmSb
qwen3.5-flash,0.2,0.2,2026-02-25,Alibaba,China,,,0.04020151261036849,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/b9csPZ2c9CAsRXmzzfVoEW.eval,2026-08-27T18:27:45.000Z,b9csPZ2c9CAsRXmzzfVoEW
qwen3.6-plus_none,0.12,0.12,2026-03-31,Alibaba,China,,,0.03265986323710904,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/jGgkDRHbodcaTzQ3Mp6SxS.eval,2026-08-27T18:27:14.000Z,jGgkDRHbodcaTzQ3Mp6SxS
qwen3.5-plus_none,0.17,0.17,2026-02-16,Alibaba,China,,,0.03775251680686369,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/XbtWdvRz65dbPPnHcSBvmF.eval,2026-08-27T18:23:25.000Z,XbtWdvRz65dbPPnHcSBvmF
gpt-5.4-mini-2026-03-17_low,0.08,0.08,2026-03-17,OpenAI,United States of America,,,0.027265992434429072,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/9zTyRhqbSKn7bbruvwDP4L.eval,2026-08-27T18:22:45.000Z,9zTyRhqbSKn7bbruvwDP4L
gpt-5.6-luna_low,0.17,0.17,2026-07-09,OpenAI,United States of America,,,0.03775251680686369,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/iTY94tKhVEcZsUZivMwLJa.eval,2026-08-27T18:18:35.000Z,iTY94tKhVEcZsUZivMwLJa
qwen3.7-plus_none,0.17,0.17,2026-06-02,Alibaba,China,,,0.03775251680686369,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/a5qR5FNnftfR8pk9HJ3JUz.eval,2026-08-27T18:18:28.000Z,a5qR5FNnftfR8pk9HJ3JUz
qwen3.7-flash_none,0.14,0.14,2026-07-27,Alibaba,China,,,0.0348735088019777,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/i7MVHsH5pikQKjYn6LBqHS.eval,2026-08-27T18:18:13.000Z,i7MVHsH5pikQKjYn6LBqHS
gpt-5-mini-2025-08-07_medium,0.04,0.04,2025-08-07,OpenAI,United States of America,,,0.019694638556693237,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/8RmBWoBLhvciTpz2oPSbDs.eval,2026-08-27T18:13:19.000Z,8RmBWoBLhvciTpz2oPSbDs
gpt-5-nano-2025-08-07_high,0.08,0.08,2025-08-07,OpenAI,United States of America,,,0.027265992434429075,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/aW4ppDktWqoy5qVWMUws6z.eval,2026-08-27T18:09:14.000Z,aW4ppDktWqoy5qVWMUws6z
gpt-5.4-nano-2026-03-17_medium,0.06,0.06,2026-03-17,OpenAI,United States of America,,,0.0238683256575942,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/hRMMiGMPvHSGh3ygSjgrs2.eval,2026-08-27T18:08:44.000Z,hRMMiGMPvHSGh3ygSjgrs2
gpt-5.6-sol_none,0.33,0.33,2026-07-09,OpenAI,United States of America,,,0.04725815626252608,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/4uxDyWmq5f5azVYfWBGUHh.eval,2026-08-27T18:07:54.000Z,4uxDyWmq5f5azVYfWBGUHh
gpt-5.5_none,0.18,0.18,2026-04-23,OpenAI,United States of America,,,0.03861229196653691,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/MHAMdn52f7wLMZ6MSCs5E2.eval,2026-08-27T18:07:51.000Z,MHAMdn52f7wLMZ6MSCs5E2
gpt-oss-120b_high,0.0,0.0,2025-08-05,OpenAI,United States of America,4.94e+24,"""The training run for gpt-oss-120b required 2.1 million H100-hours to complete""
(2.1e6 hours)*(1,979 H100 FLOP/s)*(30% utilization)*(60*60) = 4.49e24
They also do post training similar to o3, which we assume adds at least 10% as much compute, so we multiply this estimate by 1.1 to get 4.94e24

",0.0,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/GbQrTQyihBUsb9sxbqT8pT.eval,2026-08-27T18:02:21.000Z,GbQrTQyihBUsb9sxbqT8pT
gpt-5.2-2025-12-11_none,0.14,0.14,2025-12-11,OpenAI,United States of America,,,0.0348735088019777,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/eSfCVMMp2HXYqvpVpyNjjr.eval,2026-08-27T18:02:02.000Z,eSfCVMMp2HXYqvpVpyNjjr
qwen3.5-flash_none,0.16,0.16,2026-02-25,Alibaba,China,,,0.036845294917747066,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/DjFkVt62QwqQ4xXwzYR5Ng.eval,2026-08-27T18:01:12.000Z,DjFkVt62QwqQ4xXwzYR5Ng
gpt-5.4-nano-2026-03-17_low,0.03,0.03,2026-03-17,OpenAI,United States of America,,,0.01714466079977653,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/aAAtrj4DqLUuEY6P7W5yLe.eval,2026-08-27T18:01:04.000Z,aAAtrj4DqLUuEY6P7W5yLe
nemotron-3-ultra,0.2,0.2,2026-06-04,NVIDIA,United States of America,6.6e+24,"55 billion active parameters, ~20T tokens",0.04020151261036849,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/U8H8juE3Ko83jsR6TRntbh.eval,2026-08-27T18:00:58.000Z,U8H8juE3Ko83jsR6TRntbh
gpt-5.6-terra_none,0.14,0.14,2026-07-09,OpenAI,United States of America,,,0.0348735088019777,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/8grv57UmR89LXkEYhyssr9.eval,2026-08-27T18:00:41.000Z,8grv57UmR89LXkEYhyssr9
gpt-5-nano-2025-08-07_medium,0.09,0.09,2025-08-07,OpenAI,United States of America,,,0.028762349126466143,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/ZwQdGcba6Hez4ztMzmZP9j.eval,2026-08-27T18:00:36.000Z,ZwQdGcba6Hez4ztMzmZP9j
gpt-5-2025-08-07_minimal,0.14,0.14,2025-08-07,OpenAI,United States of America,6.6e+25,"Fairly speculative, possibly around 6e25 [CI: 2e25 to 2e26] FLOP. See document below for details

https://docs.google.com/document/d/1V2jIk365LnhH4WDoCw5dYJjZr1Htw8IHaK1noMf5Y48/edit?tab=t.z871imftkus",0.0348735088019777,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/G3tHLT8qE9ncseZazqTXRX.eval,2026-08-27T17:58:55.000Z,G3tHLT8qE9ncseZazqTXRX
gpt-5.1-2025-11-13_none,0.15,0.15,2025-11-13,OpenAI,United States of America,,"Almost certainly > 1e25
",0.03588702812826368,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/2a2uhidAfksbnAJC8yUrZK.eval,2026-08-27T17:58:50.000Z,2a2uhidAfksbnAJC8yUrZK
gpt-4.1-mini-2025-04-14,0.07,0.07,2025-04-14,OpenAI,United States of America,,,0.02564323999762428,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/giKk2ut3JVFVQUvbykxvSu.eval,2026-08-27T17:58:41.000Z,giKk2ut3JVFVQUvbykxvSu
gpt-5-mini-2025-08-07_minimal,0.1,0.1,2025-08-07,OpenAI,United States of America,,,0.03015113445777636,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/kW6hSbkCwQczqbazduGXPR.eval,2026-08-27T17:58:37.000Z,kW6hSbkCwQczqbazduGXPR
Qwen3-235B-A22B-Thinking-2507,0.09,0.09,2025-07-25,Alibaba,China,4.752e+24,6 FLOP / parameter / token * 22*10^9 active parameters * 36000000000000 tokens = 4.752e+24 FLOP,0.028762349126466143,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/BP3KYD8rYyFg3LviNGtjLL.eval,2026-08-27T17:58:05.000Z,BP3KYD8rYyFg3LviNGtjLL
gpt-3.5-turbo-0125,0.03,0.03,2024-01-25,OpenAI,United States of America,,,0.01714466079977653,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/UfmijCsx59sZ8xpcbcWDms.eval,2026-08-27T17:57:53.000Z,UfmijCsx59sZ8xpcbcWDms
gpt-5.4-mini-2026-03-17_none,0.11,0.11,2026-03-17,OpenAI,United States of America,,,0.03144660377352201,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/NEysw7ag6KJxUahem2PHQv.eval,2026-08-27T17:57:44.000Z,NEysw7ag6KJxUahem2PHQv
gpt-oss-120b_medium,0.02,0.02,2025-08-05,OpenAI,United States of America,4.94e+24,"""The training run for gpt-oss-120b required 2.1 million H100-hours to complete""
(2.1e6 hours)*(1,979 H100 FLOP/s)*(30% utilization)*(60*60) = 4.49e24
They also do post training similar to o3, which we assume adds at least 10% as much compute, so we multiply this estimate by 1.1 to get 4.94e24

",0.014070529413628966,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/58MQQiJ7vvgvP9e8LcG6eV.eval,2026-08-27T17:57:43.000Z,58MQQiJ7vvgvP9e8LcG6eV
gpt-5-nano-2025-08-07_low,0.09,0.09,2025-08-07,OpenAI,United States of America,,,0.028762349126466143,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/PLbKjMLohFB9epj3qHPcuS.eval,2026-08-27T17:57:33.000Z,PLbKjMLohFB9epj3qHPcuS
gpt-5-nano-2025-08-07_minimal,0.05,0.05,2025-08-07,OpenAI,United States of America,,,0.021904291355759033,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/RVRYWkwXwrvbCyZW8AhqEm.eval,2026-08-27T17:56:54.000Z,RVRYWkwXwrvbCyZW8AhqEm
gpt-5.4-nano-2026-03-17_none,0.09,0.09,2026-03-17,OpenAI,United States of America,,,0.028762349126466143,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/fxNDgLaScEoHo2canW89yv.eval,2026-08-27T17:56:52.000Z,fxNDgLaScEoHo2canW89yv
gpt-4o-mini-2024-07-18,0.12,0.12,2024-07-18,OpenAI,United States of America,,"Training compute estimated to be 7.36001e+24 from benchmark scores. https://colab.research.google.com/drive/1r3pUMhB7Kh0Gls9eG-v_XefWrye9fVQR?usp=sharing

90% CI [3.23e+24, 2.05e+25]",0.03265986323710904,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/mbviVfQ7Bh7wHSCDDmrt7u.eval,2026-08-27T17:56:46.000Z,mbviVfQ7Bh7wHSCDDmrt7u
deepseek-v4-pro-0813_max,0.43,0.43,2026-08-13,DeepSeek,China,9.702e+24,From https://api-docs.deepseek.com/news/news260813/: built on the DeepSeek-V4-Pro (Preview) model structure with a DSpark speculative-decoding module; agent-focused post-training upgrades. Pre-training compute carried over from DeepSeek-V4-Pro (6 * 49e9 active parameters * 33e12 tokens = 9.702E24).,0.0497569851956243,,,2026-08-19T18:14:49.000Z,c2KVkMCWnpo6BbnMWgdaDH
inkling-small_xhigh,0.06,0.06,2026-07-15,Thinking Machines,United States of America,,,0.023868325657594204,,,2026-08-15T01:02:40.000Z,nPFA9ufjfVqg3YNmDRqWeC
gemini-3.7-flash_high,0.37,0.37,2026-08-13,Google DeepMind,United States of America,,,0.048523658709390974,,,2026-08-14T21:35:50.000Z,ZavSMMq9jk5s9WSbARZr6X
grok-4.6_xhigh,0.34,0.34,2026-08-12,xAI,United States of America,,,0.04760952285695234,,,2026-08-14T20:27:46.000Z,9cXtChGrowgGDwa9AcAecB
gpt-5.2-2025-12-11_high,0.23,0.23,2025-12-11,OpenAI,United States of America,,,0.04229525846816508,,,2026-08-06T14:07:21.000Z,AsFSc8AQu4F46Tzp4xVwYu
claude-sonnet-4-6,0.14,0.14,2026-02-17,Anthropic,United States of America,,,0.0348735088019777,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/VjfWxdhdNerrh4huSHT8PT.eval,2026-08-06T00:18:43.000Z,VjfWxdhdNerrh4huSHT8PT
claude-sonnet-4-6_low,0.16,0.16,2026-02-17,Anthropic,United States of America,,,0.03684529491774706,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/YdyvoMQ4mA5V8Ymg6Tksxu.eval,2026-08-06T00:18:14.000Z,YdyvoMQ4mA5V8Ymg6Tksxu
claude-opus-5,0.37,0.37,2026-07-24,Anthropic,United States of America,,,0.048523658709390974,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/bWnggCv6to2QKSjngrtuos.eval,2026-08-06T00:14:11.000Z,bWnggCv6to2QKSjngrtuos
claude-opus-4-7,0.13,0.13,2026-04-16,Anthropic,United States of America,,,0.033799766898963114,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/LsnPrukDADRTP8fsn8zD9S.eval,2026-08-06T00:13:47.000Z,LsnPrukDADRTP8fsn8zD9S
claude-opus-4-6,0.15,0.15,2026-02-05,Anthropic,United States of America,,,0.03588702812826367,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/BbM4xbJcS5sjrzZABGg8K7.eval,2026-08-06T00:13:31.000Z,BbM4xbJcS5sjrzZABGg8K7
claude-opus-4-6_low,0.07,0.07,2026-02-05,Anthropic,United States of America,,,0.02564323999762428,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/JarZHkwUMZ6HuA4ArMNT45.eval,2026-08-06T00:13:22.000Z,JarZHkwUMZ6HuA4ArMNT45
gemini-3.1-pro-preview_medium,0.32,0.32,2026-02-19,Google DeepMind,United States of America,,,0.04688261722621506,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/WueZbBM3NwMUZPveuagrZo.eval,2026-08-06T00:12:06.000Z,WueZbBM3NwMUZPveuagrZo
gemini-3.1-pro-preview_low,0.29,0.29,2026-02-19,Google DeepMind,United States of America,,,0.04560480215720687,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/4a3M8rRWUoPphCSr2dguXH.eval,2026-08-06T00:11:58.000Z,4a3M8rRWUoPphCSr2dguXH
claude-sonnet-5,0.16,0.16,2026-06-30,Anthropic,United States of America,,,0.036845294917747066,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/AZHoMLTNQEcKLwtv7QzBLZ.eval,2026-08-06T00:09:48.000Z,AZHoMLTNQEcKLwtv7QzBLZ
gemini-3.5-flash_low,0.28,0.28,2026-05-19,Google,United States of America,,,0.045126085985421296,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/nrh3xa3Bn765Q6DXWoVfbS.eval,2026-08-05T23:51:58.000Z,nrh3xa3Bn765Q6DXWoVfbS
gemini-3.6-flash_minimal,0.25,0.25,2026-07-21,Google DeepMind,United States of America,,,0.04351941398892446,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/3L22tfAid5ZM42p92tqC73.eval,2026-08-05T23:51:57.000Z,3L22tfAid5ZM42p92tqC73
gemini-3.6-flash_low,0.23,0.23,2026-07-21,Google DeepMind,United States of America,,,0.04229525846816508,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/M8sY8vHnvSLxQUg3HTMTCp.eval,2026-08-05T23:51:40.000Z,M8sY8vHnvSLxQUg3HTMTCp
gemini-3-flash-preview_minimal,0.25,0.25,2025-12-17,Google DeepMind,United States of America,,,0.04351941398892446,,https://epoch-benchmarks-staging-private.s3.us-east-2.amazonaws.com/inspect_ai_logs/njpkLAWZTvept6tnkraYrR.eval,2026-08-05T23:47:51.000Z,njpkLAWZTvept6tnkraYrR
